Name,Vendor,Category,Price
1L Container,Unknown,Container,0.25
16oz Container,Unknown,Container,0.09
Tamper Evident Cap 16oz,Unknown,Closure,0.05
32oz Container,Unknown,Container,0.27
3oz PET Bottle,Unknown,Container,0.19
3oz CR Cap w/ Liner,Unknown,Closure,0.10
3oz Dispensing Cap,Unknown,Closure,0.07
30ml Tincture Bottle + Cap,Unknown,Container,0.63
Lip Balm Tube,Unknown,Container,0.21
Mylar Bag,Unknown,Container,0.30
2oz Boston Round + Lid,Unknown,Container,0.18
GLASS 2oz Boston Round,Unknown,Container,0.18
CR Black for GLASS 2oz,Unknown,Closure,0.14
30ml Tincture Box (5k pricing),Unknown,Box,0.23
30ml Tincture Box (1k Pricing),Unknown,Box,0.58
3oz Roll On w/Cap,Containers and Packaging,Container,0.56
150ml Airless Bottle,Containers and Packaging,Container,1.85
2oz CR Jar (Honey),Unknown,Container,0.85
2oz Honey Box,Unknown,Box,0.50
30ml PET Round Bottle,Unknown,Container,0.16
CR Lid for 30ml PET,Unknown,Closure,0.16
Disposable Vape,Unknown,Other,3.25
5/10 Cartridge,Unknown,Other,1.25
Clamshells,Unknown,Box,0.35
30ml Miron bottle and Dropper,Unknown,Container,1.88
200ml clear glass jar w/ Lug nut lid,Unknown,Container,0.98
White cap,Unknown,Closure,0.70
Cobalt blue/green/white bottle 150cc,Unknown,Container,0.50
Clear 150cc Bottle,Unknown,Container,0.44
White 150cc w/cap & liner,Unknown,Container,0.35
38/400 black cap w/liner,Unknown,Closure,0.11
38/400 red cap w/liner,Unknown,Closure,0.10
38/400 yellow w/liner,Unknown,Closure,0.10
38/400 White CR cap w/liner,Unknown,Closure,0.19
Gradient Tincture Bottle Only,Unknown,Container,0.35
Super Dropper,Unknown,Closure,0.26
8oz Amber Glass Bottle w/ Pump Top,Specialty Bottles,Container,1.05
Vape Box,Unknown,Box,0.85
Insert,Unknown,Other,0.15
Disposable Box,Unknown,Box,1.50
Vape Battery,Unknown,Other,4.00
200ml Miron Jar,Unknown,Container,1.86
200ml Miron Cap,Unknown,Closure,0.55
100ml Miron Jar,Unknown,Container,1.46
100ml Miron Lid,Unknown,Closure,0.55
1ML Glass Syringe,Unknown,Container,0.84
1ML Glass Syringe Filling Tip,Unknown,Other,0.10
Syringe w/ Tip Clamshell,Unknown,Box,0.20
1ml Terp Dram,Premium Vials,Container,0.17
1g Mylar Bag,Marijuana Packaging,Container,0.09
7ml pipette,Uline,Other,0.06
White plastic spatula,Uline,Other,0.06
55gal Drum,Unknown,Container,83.00
C2 Tanker Refillable Cart 10k,Vuber,Other,2.60
Display Box 12pk Box,Unknown,Box,0.10
60ML PET Boston Round,Unknown,Container,0.18
60ML PET lid,Unknown,Closure,0.11
4 oz Amber with Dropper,Unknown,Container,0.83
Dropper Bottles 30ml Dropper Bottle,Unknown,Container,0.69
8th Mylar Bag,Unknown,Container,0.49
Standard Tincture Box w/ Matte Finish,Unknown,Box,0.53
3oz Roll-on CR Cap,Berlin Packaging,Closure,1.07
100ml airless pump w/ frosted cap,Cosmetic Packaging Now,Closure,1.62
16oz Pump Bottle,Unknown,Container,1.50
4 oz White HDPE Plastic Bullet Bottle,Berlin Packaging,Container,0.81
Alive 2.5 Gallon,Alive Waters,Container,77.00
Kraft cacao Sheet,Amazon,Other,0.16
Gold Foil Wrapper,Google,Label,0.08
4oz Compostable Zipper Bag,Elevate Packaging,Container,0.42
4oz pouch,Unknown,Container,0.39
4oz Bottle with Cap,Unknown,Container,0.49
200CC Clear Jar,Containers and Packaging,Container,0.34
200CC CR Lid,Containers and Packaging,Closure,0.22
120ml clear PET Can w/ aluminum lid,Alibaba,Container,0.22
2oz amber boston round with pump top,Unknown,Container,0.70
2oz Miron,Unknown,Container,1.75
2oz Miron Lid,Unknown,Closure,0.65
375 ml (12 oz) Liquor Bottle w/ T-Top,Specialty Bottles,Container,2.49
375ml PET liquor bottle w/ Black cap,Berlin Packaging,Container,1.70
50ML PET Liquor bottle w/ White Cap,Berlin Packaging,Container,0.27
15ml dropper bottle,Container and Packaging,Container,0.12
15ml dropper top,Container and Packaging,Closure,0.17
15ml Tincture Box (1k Pricing),Labels Lab,Box,0.58
MXQ Box,Labels Lab,Box,0.70
MXQ 15ml Label 1200 units,Labels Lab,Label,0.30
MXQ 15ml Label 5200 units,Labels Lab,Label,0.10
MXQ 15ml Label 10k units,Labels Lab,Label,0.06
MXQ 15ml Box - 5200,Labels Lab,Box,0.37
Labels,Labels Lab,Label,0.25
60k shrink sleeve label,Unknown,Label,0.08
2 BOPP Label for 30ML Tincture,Unknown,Label,0.30
Shrink Sleeve Labels 1000,Unknown,Label,0.35
large bottle label,Unknown,Label,0.45
MXQ 15ml Label,Lightning Labels,Label,0.27
MXQ 15ml Dropper Bottle,Containers and Packaging,Container,0.12
MXQ 15ml Dropper Top,Containers and Packaging,Closure,0.14
Shrink Band,Unknown,Label,0.02
750ml Las Vegas Spirit Bottle,BottleStore,Container,3.00
Basic Black Closure 750ml,BottleStore,Closure,0.31
Flip Top Cap Din20,Berlin Packaging,Closure,0.08
8 oz clear pump bottle,Specialty Bottle,Container,0.91
8oz Black Squeeze Bottle,Berlin Packaging,Container,0.58
24-410 Black Disc Top for 8oz,Liquid Bottles,Closure,0.06
60ml red dropper bottle 24/410,Liquid Bottles,Container,0.23
60ml Pink dropper bottles 24/410,FHPKG,Container,0.50
4oz cobalt blue dropper bottle 24/410,Container and Packaging,Container,0.57
.5oz cobalt blue dropper bottle din18,Container and Packaging,Container,0.22
60ml Black Dropper 20/410,Dropper Bottles,Closure,0.25
60ml white dropper 20/410,Dropper Bottles,Closure,0.25
120ml black dropper 24/410,Dropper Bottles,Closure,0.25
15ml black dropper,Dropper Bottles,Closure,0.25
100mm Preroll tube,Cannaline,Container,0.17
60ml Amber Boston Round,Dropper Bottles,Container,0.34
60ml Miron Dropper Bottle,Miron,Container,1.41
Miron Pump Cap,Miron,Closure,0.86
Miron 30ml Dropper Bottle Only,Miron,Container,1.06
Excel label,Unknown,Label,0.57
Matrix 60ml Label,Unknown,Label,0.31
Lube Label,Unknown,Label,0.64
Pump Top 20/410,US Plastic,Closure,0.29
Pump Top 24/410,Container and Packaging,Closure,0.16
1oz White Boston Round,Containers and Packaging,Container,0.43
